**********Reduction Summary****************
300 buses in reduced model
"6762 branches in reduced model, including 6744 equivalent lines"
2087 generators in reduced model
**********Generator Placement Results**************
External generator on bus 10691 is moved to 13265
External generator on bus 10694 is moved to 13265
External generator on bus 10699 is moved to 10209
External generator on bus 10703 is moved to 13265
External generator on bus 10722 is moved to 10710
External generator on bus 10727 is moved to 10710
External generator on bus 10728 is moved to 10228
External generator on bus 10731 is moved to 10209
External generator on bus 10737 is moved to 10209
External generator on bus 10738 is moved to 10209
External generator on bus 10742 is moved to 13669
External generator on bus 10746 is moved to 10908
External generator on bus 10757 is moved to 10033
External generator on bus 10758 is moved to 10228
External generator on bus 10760 is moved to 13265
External generator on bus 10771 is moved to 10228
External generator on bus 10776 is moved to 10228
External generator on bus 10778 is moved to 10677
External generator on bus 10782 is moved to 10033
External generator on bus 10783 is moved to 10033
External generator on bus 10784 is moved to 10228
External generator on bus 10785 is moved to 10228
External generator on bus 10791 is moved to 10677
External generator on bus 10796 is moved to 10228
External generator on bus 10797 is moved to 10228
External generator on bus 10798 is moved to 10228
External generator on bus 10800 is moved to 13265
External generator on bus 10802 is moved to 10228
External generator on bus 10806 is moved to 10228
External generator on bus 10813 is moved to 13265
External generator on bus 10817 is moved to 11041
External generator on bus 10818 is moved to 11041
External generator on bus 10821 is moved to 13265
External generator on bus 10829 is moved to 10944
External generator on bus 10836 is moved to 10209
External generator on bus 10838 is moved to 10209
External generator on bus 10842 is moved to 13265
External generator on bus 10847 is moved to 10944
External generator on bus 10860 is moved to 10859
External generator on bus 10864 is moved to 13265
External generator on bus 10867 is moved to 10228
External generator on bus 10869 is moved to 10677
External generator on bus 10872 is moved to 10677
External generator on bus 10873 is moved to 10750
External generator on bus 10879 is moved to 10944
External generator on bus 10889 is moved to 10228
External generator on bus 10890 is moved to 10228
External generator on bus 10895 is moved to 10228
External generator on bus 10896 is moved to 10228
External generator on bus 10897 is moved to 10228
External generator on bus 10898 is moved to 10228
External generator on bus 10901 is moved to 10558
External generator on bus 10902 is moved to 10558
External generator on bus 10904 is moved to 13265
External generator on bus 10923 is moved to 10228
External generator on bus 10925 is moved to 10228
External generator on bus 10931 is moved to 10930
External generator on bus 10932 is moved to 10930
External generator on bus 10933 is moved to 13265
External generator on bus 10934 is moved to 13265
External generator on bus 10938 is moved to 10022
External generator on bus 10939 is moved to 10022
External generator on bus 10940 is moved to 10022
External generator on bus 10955 is moved to 13265
External generator on bus 10959 is moved to 13518
External generator on bus 10966 is moved to 10209
External generator on bus 10969 is moved to 10677
External generator on bus 10972 is moved to 10677
External generator on bus 10978 is moved to 10607
External generator on bus 10981 is moved to 10908
External generator on bus 10982 is moved to 10908
External generator on bus 10985 is moved to 13518
External generator on bus 10989 is moved to 10859
External generator on bus 10990 is moved to 10859
External generator on bus 10991 is moved to 10859
External generator on bus 10993 is moved to 74053
External generator on bus 10998 is moved to 10344
External generator on bus 11005 is moved to 13669
External generator on bus 11006 is moved to 13669
External generator on bus 11008 is moved to 10209
External generator on bus 11009 is moved to 10209
External generator on bus 11031 is moved to 10228
External generator on bus 11032 is moved to 10228
External generator on bus 11033 is moved to 10228
External generator on bus 11035 is moved to 10033
External generator on bus 11037 is moved to 10228
