OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,YEAR,PEAK_MONTH,AVAIL_CAP,PLAN_OUT,UNPLAN_OUT,OTHER_OUT,TOTAL_CAP,PEAK_LOAD,MIN_LOAD,SHAPE_Length,SHAPE_Area
1,56669,"MIDCONTINENT INDEPENDENT TRANSMISSION SYSTEM OPERATOR, INC..",720 WEST CITY CENTER DRIVE,CARMEL,IN,46032,(317) 249-5400,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,https://www.misoenergy.org/,2018,6,130191,9127,14659,0,157475,116143,59041,42328235.3432938,2984558032651.32
2,59504,SOUTHWEST POWER POOL,201 WORTHEN DRIVE,LITTLE ROCK,AR,72223,(501) 614-3200,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,https://www.spp.org/,2018,7,70316,3359,4482,0,78157,49493,25521,23504926.129723,2336457036619.05
3,28503,WESTERN AREA POWER ADMINISTRATION - ROCKY MOUNTAIN REGION,P O BOX 3700,LOVELAND,CO,80539,(970) 461-7200,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,https://www.wapa.gov/,2018,7,8397,129,4,0,8530,4392,2586,12837815.4838392,1462801334444.71
4,1738,BONNEVILLE POWER ADMINISTRATION,905 NE 11TH AVE,PORTLAND,OR,97232,(800) 282-3713,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,https://www.bpa.gov/,2018,2,22616,4142,1506,0,23742,10243,5236,21257852.3855747,1419380655052.43
5,25471,WESTERN AREA POWER ADMINISTRATION - DESERT SOUTHWEST REGION,P O BOX 6457,PHOENIX,AZ,85005,(602) 605-2525,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,https://www.wapa.gov/,2018,8,97,0,0,0,296,161,57,11167211.9383066,1033715720075.81
6,14379,PACIFICORP - EAST,P O BOX 26000,PORTLAND,OR,97256,(888) 221-7070,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,https://www.pacificorp.com/,2018,7,10555,1,223,22,10801,9007,4911,9862015.08782744,1076833010553.87
7,14725,"PJM INTERCONNECTION, LLC",2750 MONROE BOULEVARD,AUDUBON,PA,19403,(610) 666-8980,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,http://www.pjm.com/,2018,8,158706,1716,6984,0,170741,150670,67582,29822183.1990235,1001694267998.08
8,5723,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",7620 METRO CENTER DRIVE,AUSTIN,TX,78744,(512) 225-7000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,http://www.ercot.com/,2018,7,94370,161,2462,-365,97017,72236,35202,10449400.7523392,698096582274.345
9,12825,NORTHWESTERN ENERGY (NWMT),40 E. BROADWAY,BUTTE,MT,59701,(888) 467-2669,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,http://www.northwesternenergy-com/contact-us,2018,8,1989,306,0,265,3340,1843,1003,7400037.01694284,721975368137.33
10,13407,NEVADA POWER COMPANY,6226 WEST SAHARA,LAS VEGAS,NV,89151,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,https://www.nvenergy.com/,2018,7,9374,72,0,0,9446,8773,3870,4524425.30013687,622033133787.494
11,2775,CALIFORNIA INDEPENDENT SYSTEM OPERATOR,250 OUTCROPPING WAY,FOLSOM,CA,95630,(916) 351-4400,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,http://www.caiso.com/,2018,7,65355,1301,3892,0,76269,46310,21443,9580147.71522736,521030232811.899
12,18195,"SOUTHERN COMPANY SERVICES, INC. - TRANS",30 IVAN ALLEN JR. BLVD. NW,ATLANTA,GA,30308,(404) 506-5000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,https://www.southerncompany.com/,2018,1,62448,-1408,-1381,0,59106,45965,14624,6605010.69840091,461806162920.719
13,14378,PACIFICORP - WEST,P O BOX 26000,PORTLAND,OR,97256,(888) 221-7070,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 861",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,https://www.pacificorp.com/,2018,2,6035,6,148,20,6209,3789,1742,8253391.60563952,476437729258.439
14,9191,IDAHO POWER COMPANY,1221 W. IDAHO STREET,BOISE,ID,83702,(800) 488-6151,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,https://www.idahopower-com/aboutus/companyinformation/contactus-cfm,2018,7,3225,175,43,10,3711,3765,2041,4318745.67228156,440054013799.559
15,15473,PUBLIC SERVICE COMPANY OF NEW MEXICO,MS 2730414 SILVER S.W. AS-7,ALBUQUERQUE,NM,87102,NOT AVAILABLE,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019/06/20 00:00:00,OTHER,2020/05/15 00:00:00,http://www.pnmresources.com/about-us.aspx,2018,7,2979,26,0,0,2889,2602,1331,5962236.15853256,374406805446.453
