ISO Index,Classification,QF,Aggregate,Resource_ID,Generating Unit Name / Description,Net Dependable Capacity (MW),PTO Area,Owner or QF ID,ISO Classification,Unit Type,Fuel Type,Zone,Demand Zone,Commercial Operating Date,Comments,River System,Nameplate Capacity (MW),Record Status A-Active Control Area Units AND C-Contract Units Outside Ctrl Area
124900,Participating Unit,No,No,ELCAP_1_SOLAR,2097 Helton,1.5,PGAE,"Pristine Sun, LLC",SOLAR,PHOTO VOLTAIC,SUN,NP15,PGE3,2015-05-01,,,1.5,A
60600,Participating Unit,Yes,No,PTLOMA_6_NTCCGN,AEI MCRD STEAM TURBINE,2.58,SDGE,SDG&E Exempt,COGENERATION,STEAM,HEAT RECOVERY,SP15,SDG1,1989-01-01,SDGE QF 162,,2.58,A
34200,Participating Unit,Yes,No,CHEVCO_6_UNIT 2,AERA ENERGY LLC. (Coalinga),12.5,PGAE,Pacific Gas & Electric Company,COGENERATION,,NATURAL GAS,NP15,PGE3,1988-06-03,PGE QF 25C249,,12.5,A
83400,Participating Unit,No,No,COLTON_6_AGUAM1,AGUA MANSA GENERATING FACILITY,43.0,SCE,City of Colton,PEAKER,COMBUSTION TURBINE,NATURAL GAS,SP15,SCE1,2003-06-27,,,43.0,A
118400,Participating Unit,No,No,LASSEN_6_AGV1,AGV 1,1.8,PGAE,Amedee Geothermal Venture 1,GEOTHERMAL,STEAM,GEOTHERMAL,NP15,PGE3,2014-04-07,,,2.2,A
1400,Participating Unit,No,Yes,BNNIEN_7_ALTAPH,ALTA POWER HOUSE,1.0,PGAE,PG&E,HYDRO,HYDRO,WATER,NP15,PGE3,1902-01-01,,Bear River,1.0,A
1401,Non-Participating,No,No,BNNIEN_7_ALTAPH,Alta Unit 1,,PGAE,PG&E,HYDRO,HYDRO,WATER,NP15,PGE3,1902-01-01,,Bear River,1.0,A
34600,Participating Unit,Yes,Yes,FLOWD2_2_UNIT 1,ALTAMONT POWER (AGGREGATE),42.1,PGAE,Pacific Gas & Electric Company,WIND,WIND,WIND,NP15,PGE3,1985-01-01,,,42.1,A
34601,Non-Participating,Yes,No,FLOWD2_2_UNIT 1,Altamont Power LLC (3-4),,PGAE,16W014,WIND,WIND,WIND,NP15,PGE3,1985-04-11,,,4.05,A
34604,Non-Participating,Yes,No,FLOWD2_2_UNIT 1,Altamont Power LLC (6-4),,PGAE,16W017,WIND,WIND,WIND,NP15,PGE3,1987-01-01,,,19.0,A
34602,Non-Participating,Yes,No,FLOWD2_2_UNIT 1,Altamont Power LLC (4-4),,PGAE,16W015,WIND,WIND,WIND,NP15,PGE3,1987-01-01,,,19.0,A
1500,Participating Unit,No,No,ANAHM_7_CT,ANAHEIM COMBUSTION TURBINE,42.81,SCE,City of Anaheim (MSS Agreement - S14),PEAKER,COMBUSTION TURBINE,NATURAL GAS,SP15,ANA1,1990-01-01,,,49.2,A
