ISO Index,Classification,QF,Aggregate,Resource_ID,Name_Description,Net Capacity (MW),PTO Area,Owner or QF ID,Fuel Type,Unit Type,ISO Classification,Zone,Demand Zone,Operating Date,River System,Nameplate Capacity,Status - A=Active; C - Contracted outside CAISO,Capacity Factor,Average Heat Rate,Segment1,Segment2,Segment3,MinCap,RampRate,MinUP,MinDOWN,VariableO&M,NoLOAD (x Fuel Price),StartCost,,
32400,Participating Unit,Yes,No,UNCHEM_1_UNIT,CONTRA COSTA CARBON PLANT,19,PGAE,ConocoPhillips Co. (formerly Tosco),COAL,STEAM,COGENERATION,NP15,PGE3,1/1/1983,,20,A,,14.68,15.58,15.98,16.38,8,19,6,6,2,6.68565E-14,1330,2.61989442,3.91868E+13
7200,Participating Unit,No,No,CROKET_7_UNIT,CROCKETT COGEN,240,PGAE,PG&E,NATURAL GAS,COMBINED CYCLE,COGENERATION,NP15,PGE3,12/20/1995,,240,A,,5.754121092,4.365802538,4.626748278,4.887694018,96,240,5,5,2,298.8804669,16800,110.3134032,2.709375817
96900,Participating Unit,No,No,GATWAY_2_PL1X3,Gateway Generating Station,562.5,PGAE,PG&E,NATURAL GAS,COMBINED CYCLE,THERMAL,NP15,PGE3,1/4/2009,,619,A,,7.303603257,5.915284704,6.176230443,6.437176183,225,563,1,1,2,700.5010944,39375,258.5470388,2.709375817
91800,Participating Unit,No,Yes,METEC_2_PL1X3,METCALF ENERGY CENTER,593.16,PGAE,Calpine,NATURAL GAS,COMBINED CYCLE,THERMAL,NP15,PGE3,5/27/2005,,617,A,,7.360981711,5.972663157,6.233608897,6.494554637,238,594,2,2,2,738.6830741,41521.2,272.639576,2.709375817
48100,Participating Unit,Yes,Yes,GILROY_1_UNIT,GILROY COGEN,120,PGAE,"Calpine Gilroy Cogen, L.P.",NATURAL GAS,COMBINED CYCLE,COGENERATION,NP15,PGE3,1/1/1987,,140,A,,8.02602874,6.637710187,6.898655927,7.159601666,48,120,6,6,2,149.4402335,8400,55.1567016,2.709375817
55100,Participating Unit,No,Yes,TIDWTR_2_UNITS,Martinez Cogen Limited Partnership,114.8,PGAE,Martinez Cogen Limited Partnership (MCLP),NATURAL GAS,COMBINED CYCLE,COGENERATION,NP15,PGE3,2/23/1987,,99.9,A,,8.02602874,6.637710187,6.898655927,7.159601666,46,115,6,6,2,142.96449,8036,52.76657786,2.709375817
42300,Participating Unit,Yes,Yes,CONTAN_1_UNIT,Graphic Packaging Cogen,27.7,PGAE,City of Santa Clara DBA Silicon Valley Power,NATURAL GAS,COMBINED CYCLE,COGENERATION,NP15,CSC1,,,27.8,A,,8.02602874,6.637710187,6.898655927,7.159601666,12,28,1,1,2,34.49578723,1939,12.73200529,2.709375817
39900,Participating Unit,No,Yes,STOILS_1_UNITS,CHEVRON RICHMOND REFINERY,113.9,PGAE,Chevron Products Company,NATURAL GAS,COMBINED CYCLE,COGENERATION,NP15,PGE3,8/31/1992,,155,A,,8.51,7.121681446,7.382627186,7.643572926,46,114,5,5,2,141.8436883,7973,52.3529026,2.709375817
91400,Participating Unit,No,Yes,DUANE_1_PL1X3,DONALD VON RAESFELD POWER PLANT,147.8,PGAE,City of Santa Clara DBA Silicon Valley Power ,NATURAL GAS,COMBINED CYCLE,THERMAL,NP15,NCP1,3/24/2005,,154.4,A,,9.248566127,7.860247574,8.121193313,8.382139053,60,148,2,2,2,184.0605542,10346,67.9346708,2.709375817
20100,Participating Unit,No,Yes,LMEC_1_PL1X3,LOS MEDANOS ENERGY CENTER (AGGREGATE),561.29,PGAE,Calpine,NATURAL GAS,COMBINED CYCLE,THERMAL,NP15,PGE3,6/9/2001,,519.99,A,,9.75,8.361681446,8.622627186,8.883572926,225,562,4,4,2,698.9942387,39290.3,257.9908753,2.709375817
29200,Participating Unit,Yes,Yes,SHELRF_1_UNITS,Martinez Refining Company (Aggregate),100,PGAE,Martinez Refining Co.,NATURAL GAS,COMBINED CYCLE,THERMAL,NP15,PGE3,1/1/1995,,100,A,,10.26152133,8.873202778,9.134148518,9.395094257,40,100,5,5,2,124.5335279,7000,45.963918,2.709375817
112900,Participating Unit,No,Yes,RUSCTY_2_UNITS,Russell City Energy Center,620,PGAE,"Russell City Energy Company, LLC",NATURAL GAS,COMBINED CYCLE,THERMAL,NP15,PGE3,8/8/2013,,600,A,,11.45077034,10.06245178,10.32339752,10.58434326,248,620,1,1,2,772.1078729,43400,284.9762916,2.709375817
7600,Participating Unit,No,Yes,DELTA_2_PL1X4,DELTA ENERGY CENTER (AGGREGATE),880,PGAE,"Delta Energy Center, LLC",NATURAL GAS,COMBINED CYCLE,THERMAL,NP15,PGE3,6/17/2002,,943.5,A,,11.61122627,10.22290772,10.48385346,10.7447992,352,880,4,4,2,1095.895045,61600,404.4824784,2.709375817
72000,Participating Unit,Yes,Yes,UNOCAL_1_UNITS,Phillips 66 - Rodeo Plant,57.3,PGAE,TOSCO,NATURAL GAS,COMBUSTION TURBINE,COGENERATION,NP15,PGE3,5/21/1987,,49.85,A,,8.285801013,6.374912948,6.43993771,6.504962472,21,58,1,1,3.17,88.17885512,4011,24.14267084,3.652406799
69700,Participating Unit,Yes,No,SRINTL_6_UNIT,SRI INTERNATIONAL,6.9,PGAE,Pacific Gas & Electric Company,NATURAL GAS,COMBUSTION TURBINE,COGENERATION,NP15,PGE3,3/10/1987,,6.9,A,,9.314747482,7.403859416,7.468884179,7.533908941,3,7,1,1,3.17,10.61839617,483,2.907232614,3.652406799
64800,Participating Unit,Yes,No,STAUFF_1_UNIT,RHODIA INC. (RHONE-POULENC),4.6,PGAE,Pacific Gas & Electric Company,NATURAL GAS,COMBUSTION TURBINE,COGENERATION,NP15,PGE3,6/1/1977,,4.6,A,,9.929203496,8.018315431,8.083340193,8.148364955,2,5,1,1,3.17,7.078930777,322,1.938155076,3.652406799
105300,Participating Unit,No,Yes,KELSO_2_UNITS,Mariposa Energy Project,196,PGAE,"Mariposa Energy, LLC",NATURAL GAS,COMBUSTION TURBINE,PEAKER,NP15,PGE3,10/1/2012,,195.9,A,,10.55419221,8.643304143,8.708328905,8.773353667,69,196,1,1,3.17,301.624007,13720,82.58225976,3.652406799
109400,Participating Unit,No,No,COCOPP_2_CTG1,GENON MARSH LANDING GEN STATION UNIT 1,204.2,PGAE,"GENON MARSH LANDING, LLC",NATURAL GAS,COMBUSTION TURBINE,THERMAL,NP15,PGE3,5/1/2013,,222,A,,10.56310516,8.652217093,8.717241856,8.782266618,72,205,1,1,3.17,314.2429706,14294,86.03723185,3.652406799
109500,Participating Unit,No,No,COCOPP_2_CTG2,GENON MARSH LANDING GEN STATION UNIT 2,202.7,PGAE,"GENON MARSH LANDING, LLC",NATURAL GAS,COMBUSTION TURBINE,THERMAL,NP15,PGE3,5/1/2013,,222,A,,10.56310516,8.652217093,8.717241856,8.782266618,71,203,1,1,3.17,311.9346236,14189,85.40522476,3.652406799
109600,Participating Unit,No,No,COCOPP_2_CTG3,GENON MARSH LANDING GEN STATION UNIT 3,208.96,PGAE,"GENON MARSH LANDING, LLC",NATURAL GAS,COMBUSTION TURBINE,THERMAL,NP15,PGE3,5/1/2013,,222,A,,10.56310516,8.652217093,8.717241856,8.782266618,74,209,1,1,3.17,321.5681251,14627.2,88.04280102,3.652406799
109700,Participating Unit,No,No,COCOPP_2_CTG4,GENON MARSH LANDING GEN STATION UNIT 4,204.29,PGAE,"GENON MARSH LANDING, LLC",NATURAL GAS,COMBUSTION TURBINE,THERMAL,NP15,PGE3,5/1/2013,,222,A,,10.56310516,8.652217093,8.717241856,8.782266618,72,205,1,1,3.17,314.3814714,14300.3,86.07515228,3.652406799
83000,Participating Unit,No,No,RVRVEW_1_UNITA1,RIVERVIEW ENERGY CENTER,48.7,PGAE,Riverview Energy Center LLC,NATURAL GAS,COMBUSTION TURBINE,PEAKER,NP15,PGE3,5/2/2003,,49.9,A,,11.22073251,9.309844444,9.374869206,9.439893968,18,49,1,1,3.17,74.94433236,3409,20.51916352,3.652406799
81700,Participating Unit,No,No,LMBEPK_2_UNITA2,CREED ENERGY CENTER,48,PGAE,Creed Energy Center LLC (Calpine),NATURAL GAS,COMBUSTION TURBINE,PEAKER,NP15,PGE3,1/6/2003,,49.9,A,,11.37826087,9.467372804,9.532397566,9.597422328,17,48,1,1,3.17,73.86710377,3360,20.22422688,3.652406799
81900,Participating Unit,No,No,LMBEPK_2_UNITA3,GOOSE HAVEN ENERGY CENTER,48,PGAE,Goose Haven Energy Center LLC (Calpine),NATURAL GAS,COMBUSTION TURBINE,PEAKER,NP15,PGE3,1/6/2003,,49.9,A,,11.58009817,9.669210105,9.734234867,9.799259629,17,48,1,1,3.17,73.86710377,3360,20.22422688,3.652406799
400,Participating Unit,No,No,ALMEGT_1_UNIT 1,Alameda GT Unit 1,23.8,PGAE,NCPA (MSS Agreement - S14),NATURAL GAS,COMBUSTION TURBINE,PEAKER,NP15,NCP1,1/1/1986,,25.4,A,,13.39780787,11.4869198,11.55194456,11.61696932,9,24,1,1,3.17,36.62577228,1666,10.02784583,3.652406799
