ISO Index,Classification,QF,Aggregate,Resource_ID,Name_Description,Net Dependable Capacity (MW),PTO Area,Owner or QF ID,ISO Classification,Unit Type,Fuel Type,Zone,Demand Zone,Commercial Operating Date,Comments,River System,Nameplate Capacity (MW),Record Status A-Active Control Area Units AND C-Contract Units Outside Ctrl Area
124900,Participating Unit,No,No,ELCAP1SOLAR,2097 Helton,1.5,PGAE,"Pristine Sun, LLC",SOLAR,PHOTO VOLTAIC,SUN,NP15,PGE3,5/1/2015,,,1.5,A
60600,Participating Unit,Yes,No,PTLOMA6NTCCGN,AEI MCRD STEAM TURBINE,2.58,SDGE,SDG&E Exempt,COGENERATION,STEAM,HEAT RECOVERY,SP15,SDG1,1/1/1989,SDGE QF 162,,2.58,A
34200,Participating Unit,Yes,No,CHEVCO6UNIT2,AERA ENERGY LLC. (Coalinga),12.5,PGAE,Pacific Gas & Electric Company,COGENERATION,,NATURAL GAS,NP15,PGE3,6/3/1988,PGE QF 25C249,,12.5,A
83400,Participating Unit,No,No,COLTON6AGUAM1,AGUA MANSA GENERATING FACILITY,43,SCE,City of Colton,PEAKER,COMBUSTION TURBINE,NATURAL GAS,SP15,SCE1,6/27/2003,,,43,A
118400,Participating Unit,No,No,LASSEN6AGV1,AGV 1,1.8,PGAE,Amedee Geothermal Venture 1,GEOTHERMAL,STEAM,GEOTHERMAL,NP15,PGE3,4/7/2014,,,2.2,A
1400,Participating Unit,No,Yes,BNNIEN7ALTAPH,ALTA POWER HOUSE,1,PGAE,PG&E,HYDRO,HYDRO,WATER,NP15,PGE3,1/1/1902,,Bear River,1,A
34600,Participating Unit,Yes,Yes,FLOWD22UNIT1,ALTAMONT POWER (AGGREGATE),42.1,PGAE,Pacific Gas & Electric Company,WIND,WIND,WIND,NP15,PGE3,1/1/1985,,,42.1,A
1500,Participating Unit,No,No,ANAHM7CT,ANAHEIM COMBUSTION TURBINE,42.81,SCE,City of Anaheim (MSS Agreement - S14),PEAKER,COMBUSTION TURBINE,NATURAL GAS,SP15,ANA1,1/1/1990,,,49.2,A
35300,Participating Unit,Yes,Yes,ANTLPE2QF,ANTELOPE VALLEY AREA LUMPED UNITS,206.5,SCE,Southern California Edison,WIND,WIND,WIND,SP15,SCE1,1/1/1982,,,206.5,A
126500,Participating Unit,No,No,VALLEY5SOLAR2,AP North Lake Solar,20,SCE,SUNE DB APNL LLC,SOLAR,PHOTO VOLTAIC,SUN,SP15,SCE1,8/11/2015,,,20,A
108900,Participating Unit,No,No,AVSOLR2SOLAR,AV Solar Ranch 1,241.5,SCE,SCE,SOLAR,PHOTO VOLTAIC,SUN,SP15,SCE1,6/19/2014,,,250,A
121200,Participating Unit,Yes,No,ADMEST6SOLAR,Adams East,19,PGAE,RE Adams East LLC,SOLAR,PHOTO VOLTAIC,SUN,NP15,PGE3,12/13/2014,,,19,A
127600,Participating Unit,No,No,VICTOR1SOLAR4,Adelanto Solar,20,SCE,"Adelanto Solar, LLC",SOLAR,PHOTO VOLTAIC,SUN,SP15,SCE1,9/3/2015,,,20,A
125800,Participating Unit,No,No,VICTOR1SOLAR3,Adelanto Solar 2,7,SCE,"Adelanto Solar II, LLC",SOLAR,PHOTO VOLTAIC,SUN,SP15,SCE1,7/1/2015,,,7,A
130500,Participating Unit,No,No,ADERA1SOLAR1,Adera Solar,20,PGAE,"Adera Solar, LLC",SOLAR,PHOTO VOLTAIC,SUN,NP15,PGE3,12/23/2015,,,20,A
118500,Participating Unit,No,No,ADOBEE1SOLAR,Adobe Solar,20,PGAE,"Adobe Solar, LLC",SOLAR,PHOTO VOLTAIC,SUN,NP15,PGE3,5/21/2014,,,20,A
47600,Participating Unit,Yes,Yes,CALPIN1AGNEW,Agnews Power Plant,28,PGAE,"O.L.S. Energy-Agnews, Inc.",COGENERATION,COMBINED CYCLE,NATURAL GAS,NP15,PGE3,10/19/1990,,,32,A
103500,Participating Unit,No,No,AGUCAL5SOLAR1,Agua Caliente Solar,290,SDGE,"Agua Caliente Solar, LLC",SOLAR,PHOTO VOLTAIC,SUN,SP15,PGE3,6/10/2014,,,290,A
93500,Participating Unit,Yes,Yes,ADLIN1UNITS,Aidlin Power Plant,22,PGAE,Geysers Power Co.,GEOTHERMAL,STEAM,GEOTHERMAL,NP15,PGE3,,Formerly QF 04G019,,23,A
400,Participating Unit,No,No,ALMEGT1UNIT1,Alameda GT Unit 1,23.8,PGAE,NCPA (MSS Agreement - S14),PEAKER,COMBUSTION TURBINE,NATURAL GAS,NP15,NCP1,1/1/1986,,,25.4,A
500,Participating Unit,No,No,ALMEGT1UNIT2,Alameda GT Unit 2,25.4,PGAE,NCPA (MSS Agreement - S14),PEAKER,COMBUSTION TURBINE,NATURAL GAS,NP15,NCP1,1/1/1986,,,25.4,A
600,Participating Unit,No,No,ALAMIT7UNIT1,Alamitos 1,174.56,SCE,AES,THERMAL,STEAM,NATURAL GAS,SP15,SCE1,1/1/1956,,,175,A
700,Participating Unit,No,No,ALAMIT7UNIT2,Alamitos 2,175,SCE,AES,THERMAL,STEAM,NATURAL GAS,SP15,SCE1,1/1/1957,,,176,A
800,Participating Unit,No,No,ALAMIT7UNIT3,Alamitos 3,332.18,SCE,AES,THERMAL,STEAM,NATURAL GAS,SP15,SCE1,1/1/1961,,,322,A
900,Participating Unit,No,No,ALAMIT7UNIT4,Alamitos 4,335.67,SCE,AES,THERMAL,STEAM,NATURAL GAS,SP15,SCE1,1/1/1962,,,320,A
1000,Participating Unit,No,No,ALAMIT7UNIT5,Alamitos 5,497.97,SCE,AES,THERMAL,STEAM,NATURAL GAS,SP15,SCE1,1/1/1999,,,482,A
