ISO Index,Classification,QF,Aggregate,Resource_ID,Name_Description,Net Dependable Capacity (MW),PTO Area,Owner or QF ID,ISO Classification,Unit Type,Fuel Type,Zone,Demand Zone,Commercial Operating Date,Comments,River System,Nameplate Capacity (MW),Record Status A-Active Control Area Units AND C-Contract Units Outside Ctrl Area
124900,Participating Unit,No,No,ELCAP_1_SOLAR,2097 Helton,1.5,PGAE,"Pristine Sun, LLC",SOLAR,PHOTO VOLTAIC,SUN,NP15,PGE3,5/1/2015,,,1.5,A
60600,Participating Unit,Yes,No,PTLOMA_6_NTCCGN,AEI MCRD STEAM TURBINE,2.58,SDGE,SDG&E Exempt,COGENERATION,STEAM,HEAT RECOVERY,SP15,SDG1,1/1/1989,SDGE QF 162,,2.58,A
34200,Participating Unit,Yes,No,CHEVCO_6_UNIT 2,AERA ENERGY LLC. (Coalinga),12.5,PGAE,Pacific Gas & Electric Company,COGENERATION,,NATURAL GAS,NP15,PGE3,6/3/1988,PGE QF 25C249,,12.5,A
83400,Participating Unit,No,No,COLTON_6_AGUAM1,AGUA MANSA GENERATING FACILITY,43,SCE,City of Colton,PEAKER,COMBUSTION TURBINE,NATURAL GAS,SP15,SCE1,6/27/2003,,,43,A
118400,Participating Unit,No,No,LASSEN_6_AGV1,AGV 1,1.8,PGAE,Amedee Geothermal Venture 1,GEOTHERMAL,STEAM,GEOTHERMAL,NP15,PGE3,4/7/2014,,,2.2,A
1400,Participating Unit,No,Yes,BNNIEN_7_ALTAPH,ALTA POWER HOUSE,1,PGAE,PG&E,HYDRO,HYDRO,WATER,NP15,PGE3,1/1/1902,,Bear River,1,A
1401,Non-Participating,No,No,,Alta Unit 1,,PGAE,PG&E,HYDRO,HYDRO,WATER,NP15,PGE3,1/1/1902,,Bear River,1,A
34600,Participating Unit,Yes,Yes,FLOWD2_2_UNIT 1,ALTAMONT POWER (AGGREGATE),42.1,PGAE,Pacific Gas & Electric Company,WIND,WIND,WIND,NP15,PGE3,1/1/1985,,,42.1,A
34601,Non-Participating,Yes,No,,Altamont Power LLC (3-4),,PGAE,16W014,WIND,WIND,WIND,NP15,PGE3,4/11/1985,,,4.05,A
34604,Non-Participating,Yes,No,,Altamont Power LLC (6-4),,PGAE,16W017,WIND,WIND,WIND,NP15,PGE3,1/1/1987,,,19,A
34602,Non-Participating,Yes,No,,Altamont Power LLC (4-4),,PGAE,16W015,WIND,WIND,WIND,NP15,PGE3,1/1/1987,,,19,A
1500,Participating Unit,No,No,ANAHM_7_CT,ANAHEIM COMBUSTION TURBINE,42.81,SCE,City of Anaheim (MSS Agreement - S14),PEAKER,COMBUSTION TURBINE,NATURAL GAS,SP15,ANA1,1/1/1990,,,49.2,A
35300,Participating Unit,Yes,Yes,ANTLPE_2_QF,ANTELOPE VALLEY AREA LUMPED UNITS,206.5,SCE,Southern California Edison,WIND,WIND,WIND,SP15,SCE1,1/1/1982,,,206.5,A
35318,Non-Participating,Yes,No,,TEHACHAPI CUMMINGS/COUNTY WATER DISTRICT,,SCE,4013,HYDRO,HYDRO,WATER,SP15,SCE1,10/1/1983,,,0.04,A
35307,Non-Participating,Yes,No,,CAMERON RIDGE LLC (IV),,SCE,6091,WIND,WIND,WIND,SP15,SCE1,12/31/1985,,,12.76,A
35322,Non-Participating,Yes,No,,"On Wind Energy, LLC",,SCE,6012,WIND,WIND,WIND,SP15,SCE1,12/28/1982,,,2.4,A
35313,Non-Participating,Yes,No,,"OAK CREEK ENERGY SYSTEMS, INC",,SCE,6234,WIND,WIND,WIND,SP15,SCE1,2/10/1986,,,27.9,A
35319,Non-Participating,Yes,No,,TEHACHAPI POWER PURCHASE CONTRACT TRUST,,SCE,6037,WIND,WIND,WIND,SP15,SCE1,12/15/1986,,,56,A
35308,Non-Participating,Yes,No,,RIDGETOP ENERGY LLC (II),,SCE,6092,WIND,WIND,WIND,SP15,SCE1,1/1/1988,,,28,A
126500,Participating Unit,No,No,VALLEY_5_SOLAR2,AP North Lake Solar,20,SCE,SUNE DB APNL LLC,SOLAR,PHOTO VOLTAIC,SUN,SP15,SCE1,8/11/2015,,,20,A
108900,Participating Unit,No,No,AVSOLR_2_SOLAR,AV Solar Ranch 1,241.5,SCE,SCE,SOLAR,PHOTO VOLTAIC,SUN,SP15,SCE1,6/19/2014,,,250,A
121200,Participating Unit,Yes,No,ADMEST_6_SOLAR,Adams East,19,PGAE,RE Adams East LLC,SOLAR,PHOTO VOLTAIC,SUN,NP15,PGE3,12/13/2014,,,19,A
127600,Participating Unit,No,No,VICTOR_1_SOLAR4,Adelanto Solar,20,SCE,"Adelanto Solar, LLC",SOLAR,PHOTO VOLTAIC,SUN,SP15,SCE1,9/3/2015,,,20,A
125800,Participating Unit,No,No,VICTOR_1_SOLAR3,Adelanto Solar 2,7,SCE,"Adelanto Solar II, LLC",SOLAR,PHOTO VOLTAIC,SUN,SP15,SCE1,7/1/2015,,,7,A
130500,Participating Unit,No,No,ADERA_1_SOLAR1,Adera Solar,20,PGAE,"Adera Solar, LLC",SOLAR,PHOTO VOLTAIC,SUN,NP15,PGE3,12/23/2015,,,20,A
118500,Participating Unit,No,No,ADOBEE_1_SOLAR,Adobe Solar,20,PGAE,"Adobe Solar, LLC",SOLAR,PHOTO VOLTAIC,SUN,NP15,PGE3,5/21/2014,,,20,A
47600,Participating Unit,Yes,Yes,CALPIN_1_AGNEW,Agnews Power Plant,28,PGAE,"O.L.S. Energy-Agnews, Inc.",COGENERATION,COMBINED CYCLE,NATURAL GAS,NP15,PGE3,10/19/1990,,,32,A
