ISO Index,Classification,QF,Aggregate,Resource_ID,Name_Description,NetCap,PTO Area,Owner or QF ID,Fuel Type,Unit Type,ISO Classification,Zone,Demand Zone,Operating Date,River System,Nameplate Capacity,Status - A=Active; C - Contracted outside CAISO,Capacity Factor,Average Heat Rate
96300,Participating Unit,No,No,OTAY_6_PL1X2,Chula Vista Energy Center,35.5,SDGE,"Chula Vista Energy Center, LLC",NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,6/8/2006,,44.02,A,,21.23834144
9100,Participating Unit,No,No,ELCAJN_7_GT1,El Cajon,16.36,SDGE,"Cabrillo Power II, LLC",NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,1/1/1968,,15,A,,19.06141249
9800,Participating Unit,No,No,ENCINA_7_GT1,Encina,14.5,SDGE,"Cabrillo Power I, LLC",NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,1/1/1968,,18,A,,18.18345324
21600,Participating Unit,No,Yes,MRGT_7_UNITS,Miramar,36,SDGE,"Cabrillo Power I, LLC",NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,1/1/1972,,36,A,,17.22305953
18100,Participating Unit,No,Yes,KEARNY_7_KY3,Kearny,61,SDGE,DYNEGY,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,1/1/1969,,61,A,,16.14288111
3400,Participating Unit,No,No,BORDER_6_UNITA1,BORDER,51.25,SDGE,CalPeak Power LLC,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,10/26/2001,,49.96,A,,13.8123968
9000,Participating Unit,No,No,ELCAJN_6_UNITA1,Cuyamaca Peak Energy Plant,45.42,SDGE,San Diego Gas & Electric,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,5/29/2002,,47.3,A,,13.8123968
10400,Participating Unit,No,No,ESCNDO_6_UNITB1,Enterprise,48.04,SDGE,CalPeak Power LLC,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,10/23/2001,,46.9,A,,13.8123968
19300,Participating Unit,No,No,LARKSP_6_UNIT 1,Larkspur 1,46.1,SDGE,Wildflower Energy,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,9/13/2001,,45,A,,13.8123968
19400,Participating Unit,No,No,LARKSP_6_UNIT 2,Larkspur 2,47.98,SDGE,Wildflower Energy,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,9/13/2001,,45,A,,13.8123968
99200,Participating Unit,No,Yes,OGROVE_6_PL1X2,Orange Grove Energy Center,96,SDGE,"Orange Grove Energy, L.P.",NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,6/17/2010,,100,A,,13.8123968
9900,Participating Unit,No,No,ENCINA_7_EA1,Encina,106,SDGE,"Cabrillo Power I, LLC",NATURAL GAS,STEAM,THERMAL,SP15,SDG1,1/1/1954,,106.25,A,,13.74349525
10000,Participating Unit,No,No,ENCINA_7_EA2,Encina,104,SDGE,"Cabrillo Power I, LLC",NATURAL GAS,STEAM,THERMAL,SP15,SDG1,1/1/1956,,110.25,A,,13.74349525
10100,Participating Unit,No,No,ENCINA_7_EA3,Encina,110,SDGE,"Cabrillo Power I, LLC",NATURAL GAS,STEAM,THERMAL,SP15,SDG1,1/1/1958,,110.25,A,,13.74349525
10200,Participating Unit,No,No,ENCINA_7_EA4,Encina,300,SDGE,"Cabrillo Power I, LLC",NATURAL GAS,STEAM,THERMAL,SP15,SDG1,1/1/1973,,306,A,,13.74349525
