ISO Index,Classification,QF,Aggregate,Resource_ID,Name_Description,Net Capacity (MW),PTO Area,Owner or QF ID,Fuel Type,Unit Type,ISO Classification,Zone,Demand Zone,Operating Date,River System,Nameplate Capacity,Status - A=Active; C - Contracted outside CAISO,Capacity Factor,Average Heat Rate,Segment1,Segment2,Segment3,MinCap,RampRate,MinUP,MinDOWN,VariableO&M,NoLOAD (x Fuel Price),StartCost
23600,Participating Unit,No,No,OAK C_7_UNIT 1,Oakland GT #1,55,PGAE,Dynegy Oakland LLC,OIL,COMBUSTION TURBINE,PEAKER,NP15,PGE3,1/1/1978,,74.5,A,,15.6,13.68911193,13.7541367,13.81916146,20,55,1,1,3.17,84.63938973,3850
23700,Participating Unit,No,No,OAK C_7_UNIT 2,Oakland GT #2,55,PGAE,Dynegy Oakland LLC,OIL,COMBUSTION TURBINE,PEAKER,NP15,PGE3,1/1/1978,,74.5,A,,15.6,13.68911193,13.7541367,13.81916146,20,55,1,1,3.17,84.63938973,3850
23800,Participating Unit,No,No,OAK C_7_UNIT 3,Oakland GT #3,55,PGAE,Dynegy Oakland LLC,OIL,COMBUSTION TURBINE,PEAKER,NP15,PGE3,1/1/1978,,74.5,A,,15.6,13.68911193,13.7541367,13.81916146,20,55,1,1,3.17,84.63938973,3850
20200,Participating Unit,No,No,LAPAC_6_UNIT,Freshwater Tissue Company,20,PGAE,"Humboldt Bay Harbor, Recreation and Conservation District",OIL,STEAM,THERMAL,NP15,PGE1,1/1/1992,,23,A,,15.6,13.78788123,14.49283729,15.19779336,7,20,1,1,3.17,33.83600307,1400
32000,Participating Unit,No,Yes,SUTTER_2_PL1X3,SUTTER POWER PLANT AGGREGATE,525,PGAE,"Calpine Construction Finance Company, L.P.",NATURAL GAS,COMBINED CYCLE,PSEUDO TIE,NP15,PGE3,5/4/2001,,572,C,,24.45833333,23.07001478,23.33096052,23.59190626,210,525,4,4,2,653.8010214,36750
7600,Participating Unit,No,Yes,DELTA_2_PL1X4,DELTA ENERGY CENTER (AGGREGATE),880,PGAE,"Delta Energy Center, LLC",NATURAL GAS,COMBINED CYCLE,THERMAL,NP15,PGE3,6/17/2002,,943.5,A,,11.61122627,10.22290772,10.48385346,10.7447992,352,880,4,4,2,1095.895045,61600
112900,Participating Unit,No,Yes,RUSCTY_2_UNITS,Russell City Energy Center,620,PGAE,"Russell City Energy Company, LLC",NATURAL GAS,COMBINED CYCLE,THERMAL,NP15,PGE3,8/8/2013,,600,A,,11.45077034,10.06245178,10.32339752,10.58434326,248,620,1,1,2,772.1078729,43400
31900,Participating Unit,No,Yes,SUNRIS_2_PL1X3,SUNRISE POWER PROJECT (AGGREGATE),586.02,PGAE,Edison Mission Energy,NATURAL GAS,COMBINED CYCLE,THERMAL,ZP26,PGE4,6/7/2001,,590,A,,11.22487225,9.836553701,10.09749944,10.35844518,235,587,4,4,2,729.7913802,41021.4
22700,Participating Unit,No,Yes,MOSSLD_2_PSP1,Moss Landing CC Plant 1 (Aggregate),510,PGAE,"Dynegy Moss Landing, LLC",NATURAL GAS,COMBINED CYCLE,THERMAL,NP15,PGE3,7/1/2002,,541,A,,10.75,9.361681446,9.622627186,9.883572926,204,510,3,3,2,635.1209923,35700
22800,Participating Unit,No,Yes,MOSSLD_2_PSP2,Moss Landing CC Plant 2 (Aggregate),510,PGAE,"Dynegy Moss Landing, LLC",NATURAL GAS,COMBINED CYCLE,THERMAL,NP15,PGE3,7/11/2002,,541,A,,10.75,9.361681446,9.622627186,9.883572926,204,510,3,3,2,635.1209923,35700
