TSMachine,UnitType,EDMargCostMW,FuelType,BusNum,BusName,ID,Status,MW,Mvar,VoltSet,AGC,AVR,MWMin,MWMax,MvarMin,MvarMax,CostModel,PartFact
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),1004,O DONNELL 1 1,1,Closed,158.25,-30.38,1.01,NO,YES,63.3,211,-30.38,44.94,Cubic,211
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),1006,BIG SPRING 5 1,1,Closed,25.73,-4.35,1,NO,YES,10.29,34.3,-4.94,7.31,Cubic,34.3
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),1009,IRAAN 2 1,1,Closed,61.87,-11.88,1,NO,YES,24.75,82.5,-11.88,17.57,Cubic,82.5
,PV (Photovoltaic),0,SUN (Solar),1011,PRESIDIO 1 1,1,Closed,9.97,0,1,YES,YES,3,10,0,0,Cubic,10
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),1021,BIG SPRING 1 1,1,Closed,149.63,-23.15,1,NO,YES,59.85,199.5,-28.73,42.49,Cubic,199.5
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),1023,O DONNELL 2 1,1,Closed,135,2.26,1.01,NO,YES,54,180,-25.92,38.34,Cubic,180
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),1026,BIG SPRINGS 1,1,Closed,93.15,-3.42,1,NO,YES,37.26,124.2,-17.88,26.45,Cubic,124.2
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),1033,MCCAMEY 1 1,1,Closed,208.5,-40.03,1,NO,YES,83.4,278,-40.03,59.21,Cubic,278
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),1035,BIG SPRING 4 1,1,Closed,67.5,-6.87,1,NO,YES,27,90,-12.96,19.17,Cubic,90
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),1039,FORT STOCKTON 1 1,1,Closed,110.63,-16.65,1,NO,YES,44.25,147.5,-21.24,31.42,Cubic,147.5
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),1042,FORSAN 1,1,Open,0,0,1,NO,YES,36.57,121.9,-17.55,25.96,Cubic,121.9
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),1043,FORSAN 2,1,Closed,44.1,-1.16,1,NO,YES,17.64,58.8,-8.47,12.52,Cubic,58.8
GENROU,GT (Gas Turbine),0,NG (Natural Gas),1048,MONAHANS 1 1,1,Open,0,0,1,YES,YES,97.56,325.2,-36.1,165.53,Cubic,325.2
GENROU,GT (Gas Turbine),0,NG (Natural Gas),1049,MONAHANS 1 2,1,Open,0,0,1,YES,YES,97.56,325.2,-36.1,165.53,Cubic,325.2
GENROU,GT (Gas Turbine),17.73,NG (Natural Gas),1050,MONAHANS 1 3,1,Closed,89.15,-4.14,1,YES,YES,26.82,89.4,-9.92,45.5,Cubic,89.4
GENROU,GT (Gas Turbine),17.73,NG (Natural Gas),1051,MONAHANS 1 4,1,Closed,89.15,-2.88,1,YES,YES,26.82,89.4,-9.92,45.5,Cubic,89.4
GENROU,GT (Gas Turbine),17.73,NG (Natural Gas),1052,MONAHANS 1 5,1,Closed,89.15,-7.04,1,YES,YES,26.82,89.4,-9.92,45.5,Cubic,89.4
GENROU,GT (Gas Turbine),0,NG (Natural Gas),1053,MONAHANS 1 6,1,Open,0,0,1,YES,YES,53.64,178.8,-19.85,91.01,Cubic,178.8
,"W2 (Wind Turbine, Type 2)",0,WND (Wind),1057,LENORAH 1,1,Open,0,0,1,NO,YES,36,120,-17.28,25.56,Cubic,120
GENROU,GT (Gas Turbine),0,NG (Natural Gas),1059,IRAAN 3 1,1,Open,0,0,1.04,YES,YES,1.68,5.6,-0.62,2.85,Cubic,5.6
GENROU,GT (Gas Turbine),0,NG (Natural Gas),1060,IRAAN 3 2,1,Open,0,0,1.04,YES,YES,0.6,2,-0.22,1.02,Cubic,2
,PV (Photovoltaic),0,SUN (Solar),1062,BIG SPRING 6 1,1,Open,0,0,1.01,NO,YES,0.45,1.5,0,0,Cubic,1.5
