,wkt_geom,name,Number,Substation Longitude,Substation Latitude,geometry,index_right,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,YEAR,PEAK_MONTH,AVAIL_CAP,PLAN_OUT,UNPLAN_OUT,OTHER_OUT,TOTAL_CAP,PEAK_LOAD,MIN_LOAD,SHAPE_Leng,SHAPE_Area,State
0,PointZ (-102.25334800000000257 31.89451090159840163 0),ODESSA 2 0,1001,-102.253348,31.8945109,POINT (-214100.5129052382 -1451282.136642673),1.0,2.0,59504,SOUTHWEST POWER POOL,201 WORTHEN DRIVE,LITTLE ROCK,AR,72223,(501) 614-3200,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,https://www.spp.org/,2018,7.0,70316.0,3359.0,4482.0,0.0,78157.0,49493.0,25521.0,23504926.129722975,2336457036619.05,Texas
1,PointZ (-104.51013899999999524 29.8786819580038987 0),PRESIDIO 2 0,1002,-104.510139,29.87868196,POINT (-438418.0529451653 -1665140.185415386),18.0,19.0,5701,EL PASO ELECTRIC COMPANY,P O BOX 982,EL PASO,TX,79960,(800) 592-1634,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,http://www.epelectric.com/,2018,7.0,1860.0,0.0,227.0,0.0,2087.0,1926.0,754.0,4544634.088527907,253437255036.07812,Texas
2,PointZ (-101.6261779999999959 32.91732334937209714 0),O DONNELL 1 0,1003,-101.626178,32.91732335,POINT (-152629.0555510083 -1339592.940841687),1.0,2.0,59504,SOUTHWEST POWER POOL,201 WORTHEN DRIVE,LITTLE ROCK,AR,72223,(501) 614-3200,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,https://www.spp.org/,2018,7.0,70316.0,3359.0,4482.0,0.0,78157.0,49493.0,25521.0,23504926.129722975,2336457036619.05,Texas
3,PointZ (-101.63697799999999916 32.91732334937209714 0),O DONNELL 1 1,1004,-101.636978,32.91732335,POINT (-153642.565744934 -1339573.60887964),1.0,2.0,59504,SOUTHWEST POWER POOL,201 WORTHEN DRIVE,LITTLE ROCK,AR,72223,(501) 614-3200,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,https://www.spp.org/,2018,7.0,70316.0,3359.0,4482.0,0.0,78157.0,49493.0,25521.0,23504926.129722975,2336457036619.05,Texas
4,PointZ (-101.37933300000000258 32.1953150179761991 0),BIG SPRING 5 0,1005,-101.379333,32.19531502,POINT (-130599.0150194408 -1419804.897259107),7.0,8.0,5723,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",7620 METRO CENTER DRIVE,AUSTIN,TX,78744,(512) 225-7000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,http://www.ercot.com/,2018,7.0,94370.0,161.0,2462.0,-365.0,97017.0,72236.0,35202.0,10449400.752339242,698096582274.3453,Texas
5,PointZ (-101.38473299999999711 32.19059288511350303 0),BIG SPRING 5 1,1006,-101.384733,32.19059289,POINT (-131117.6573249468 -1420318.429949311),7.0,8.0,5723,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",7620 METRO CENTER DRIVE,AUSTIN,TX,78744,(512) 225-7000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,http://www.ercot.com/,2018,7.0,94370.0,161.0,2462.0,-365.0,97017.0,72236.0,35202.0,10449400.752339242,698096582274.3453,Texas
6,PointZ (-104.61551400000000456 31.08268968989840175 0),VAN HORN 0,1007,-104.615514,31.08268969,POINT (-442538.2708123238 -1531891.004691411),18.0,19.0,5701,EL PASO ELECTRIC COMPANY,P O BOX 982,EL PASO,TX,79960,(800) 592-1634,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,http://www.epelectric.com/,2018,7.0,1860.0,0.0,227.0,0.0,2087.0,1926.0,754.0,4544634.088527907,253437255036.07812,Texas
7,PointZ (-102.19243299999999408 30.92065833506470085 0),IRAAN 2 0,1008,-102.192433,30.92065834,POINT (-210701.0819198903 -1558939.851479572),18.0,19.0,5701,EL PASO ELECTRIC COMPANY,P O BOX 982,EL PASO,TX,79960,(800) 592-1634,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,http://www.epelectric.com/,2018,7.0,1860.0,0.0,227.0,0.0,2087.0,1926.0,754.0,4544634.088527907,253437255036.07812,Texas
8,PointZ (-102.19783300000000281 30.91741548816899865 0),IRAAN 2 1,1009,-102.197833,30.91741549,POINT (-211227.8049457751 -1559284.469075273),18.0,19.0,5701,EL PASO ELECTRIC COMPANY,P O BOX 982,EL PASO,TX,79960,(800) 592-1634,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,http://www.epelectric.com/,2018,7.0,1860.0,0.0,227.0,0.0,2087.0,1926.0,754.0,4544634.088527907,253437255036.07812,Texas
9,PointZ (-104.29099999999999682 29.58747850723990069 0),PRESIDIO 1 0,1010,-104.291,29.58747851,POINT (-418493.7362139437 -1698294.964900831),18.0,19.0,5701,EL PASO ELECTRIC COMPANY,P O BOX 982,EL PASO,TX,79960,(800) 592-1634,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2019-06-20,OTHER,2020-05-15,http://www.epelectric.com/,2018,7.0,1860.0,0.0,227.0,0.0,2087.0,1926.0,754.0,4544634.088527907,253437255036.07812,Texas
