Gen
BusNum,BusName,AreaName,ID,Status,AGC,MW,MWMin,MWMax,CostModel,FixedCostInd,FixedCostDep,CubicB,CubicC,CubicD,FuelCost,VariableOM,FuelType,UnitType,CostShift,CostMultiplier,BidMW:0,BidMWHr:0,BidMW:1,BidMWHr:1,BidMW:2,BidMWHr:2,BidMW:3,BidMWHr:3,BidMW:4,BidMWHr:4,BidMW:5,BidMWHr:5,BidMW:6,BidMWHr:6,BidMW:7,BidMWHr:7,BidMW:8,BidMWHr:8,BidMW:9,BidMWHr:9,BidMW:10,BidMWHr:10,BidMW:11,BidMWHr:11,BidMW:12,BidMWHr:12,BidMW:13,BidMWHr:13,BidMW:14,BidMWHr:14,BidMW:15,BidMWHr:15,BidMW:16,BidMWHr:16,BidMW:17,BidMWHr:17,BidMW:18,BidMWHr:18,BidMW:19,BidMWHr:19
1004,O DONNELL 1 1,Far West,1,Closed,NO,158.25,63.30,211.00,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,WND (Wind),"W2 (Wind Turbine, Type 2)",0.000,1.000,63.30,0.00,92.84,0.00,122.38,0.00,151.92,0.00,181.46,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,BIG SPRING 5 1,Far West,1,Closed,NO,25.73,10.29,34.30,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,WND (Wind),"W2 (Wind Turbine, Type 2)",0.000,1.000,10.29,0.00,15.09,0.00,19.89,0.00,24.70,0.00,29.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,IRAAN 2 1,Far West,1,Closed,NO,61.87,24.75,82.50,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,WND (Wind),"W2 (Wind Turbine, Type 2)",0.000,1.000,24.75,0.00,36.30,0.00,47.85,0.00,59.40,0.00,70.95,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,PRESIDIO 1 1,Far West,1,Closed,YES,9.97,3.00,10.00,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,SUN (Solar),PV (Photovoltaic),0.000,1.000,3.00,0.00,4.40,0.00,5.80,0.00,7.20,0.00,8.60,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,BIG SPRING 1 1,Far West,1,Closed,NO,149.63,59.85,199.50,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,WND (Wind),"W2 (Wind Turbine, Type 2)",0.000,1.000,59.85,0.00,87.78,0.00,115.71,0.00,143.64,0.00,171.57,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,O DONNELL 2 1,Far West,1,Closed,NO,135.00,54.00,180.00,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,WND (Wind),"W2 (Wind Turbine, Type 2)",0.000,1.000,54.00,0.00,79.20,0.00,104.40,0.00,129.60,0.00,154.80,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,BIG SPRINGS 1,Far West,1,Closed,NO,93.15,37.26,124.20,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,WND (Wind),"W2 (Wind Turbine, Type 2)",0.000,1.000,37.26,0.00,54.65,0.00,72.04,0.00,89.42,0.00,106.81,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,MCCAMEY 1 1,Far West,1,Closed,NO,208.50,83.40,278.00,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,WND (Wind),"W2 (Wind Turbine, Type 2)",0.000,1.000,83.40,0.00,122.32,0.00,161.24,0.00,200.16,0.00,239.08,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,BIG SPRING 4 1,Far West,1,Closed,NO,67.50,27.00,90.00,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,WND (Wind),"W2 (Wind Turbine, Type 2)",0.000,1.000,27.00,0.00,39.60,0.00,52.20,0.00,64.80,0.00,77.40,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,FORT STOCKTON 1 1,Far West,1,Closed,NO,110.63,44.25,147.50,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,WND (Wind),"W2 (Wind Turbine, Type 2)",0.000,1.000,44.25,0.00,64.90,0.00,85.55,0.00,106.20,0.00,126.85,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,FORSAN 1,Far West,1,Open,NO,0.00,36.57,121.90,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,WND (Wind),"W2 (Wind Turbine, Type 2)",0.000,1.000,36.57,0.00,53.64,0.00,70.70,0.00,87.77,0.00,104.83,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,FORSAN 2,Far West,1,Closed,NO,44.10,17.64,58.80,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,WND (Wind),"W2 (Wind Turbine, Type 2)",0.000,1.000,17.64,0.00,25.87,0.00,34.10,0.00,42.34,0.00,50.57,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,MONAHANS 1 1,Far West,1,Open,YES,0.00,97.56,325.20,Cubic,1087.80,0.00,5.007,0.0004,0.00000,3.723,0.000,NG (Natural Gas),GT (Gas Turbine),0.000,1.000,97.56,18.99,143.09,19.13,188.62,19.26,234.14,19.40,279.67,19.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,MONAHANS 1 2,Far West,1,Open,YES,0.00,97.56,325.20,Cubic,1087.80,0.00,5.007,0.0004,0.00000,3.723,0.000,NG (Natural Gas),GT (Gas Turbine),0.000,1.000,97.56,18.99,143.09,19.13,188.62,19.26,234.14,19.40,279.67,19.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,MONAHANS 1 3,Far West,1,Closed,YES,89.15,26.82,89.40,Cubic,734.10,0.00,4.691,0.0004,0.00000,3.723,0.000,NG (Natural Gas),GT (Gas Turbine),0.000,1.000,26.82,17.56,39.34,17.60,51.85,17.64,64.37,17.67,76.88,17.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,MONAHANS 1 4,Far West,1,Closed,YES,89.15,26.82,89.40,Cubic,734.10,0.00,4.691,0.0004,0.00000,3.723,0.000,NG (Natural Gas),GT (Gas Turbine),0.000,1.000,26.82,17.56,39.34,17.60,51.85,17.64,64.37,17.67,76.88,17.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,MONAHANS 1 5,Far West,1,Closed,YES,89.15,26.82,89.40,Cubic,734.10,0.00,4.691,0.0004,0.00000,3.723,0.000,NG (Natural Gas),GT (Gas Turbine),0.000,1.000,26.82,17.56,39.34,17.60,51.85,17.64,64.37,17.67,76.88,17.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,MONAHANS 1 6,Far West,1,Open,YES,0.00,53.64,178.80,Cubic,868.20,0.00,4.811,0.0004,0.00000,3.723,0.000,NG (Natural Gas),GT (Gas Turbine),0.000,1.000,53.64,18.11,78.67,18.18,103.70,18.25,128.74,18.33,153.77,18.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,LENORAH 1,Far West,1,Open,NO,0.00,36.00,120.00,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,WND (Wind),"W2 (Wind Turbine, Type 2)",0.000,1.000,36.00,0.00,52.80,0.00,69.60,0.00,86.40,0.00,103.20,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,IRAAN 3 1,Far West,1,Open,YES,0.00,1.68,5.60,Cubic,608.40,0.00,4.579,0.0004,0.00000,3.723,0.000,NG (Natural Gas),GT (Gas Turbine),0.000,1.000,1.68,17.05,2.46,17.05,3.25,17.06,4.03,17.06,4.82,17.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,IRAAN 3 2,Far West,1,Open,YES,0.00,0.60,2.00,Cubic,603.00,0.00,4.574,0.0004,0.00000,3.723,0.000,NG (Natural Gas),GT (Gas Turbine),0.000,1.000,0.60,17.03,0.88,17.03,1.16,17.03,1.44,17.03,1.72,17.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,BIG SPRING 6 1,Far West,1,Open,NO,0.00,0.45,1.50,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,SUN (Solar),PV (Photovoltaic),0.000,1.000,0.45,0.00,0.66,0.00,0.87,0.00,1.08,0.00,1.29,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,BIG SPRING 6 2,Far West,1,Open,NO,0.00,69.00,230.00,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,SUN (Solar),PV (Photovoltaic),0.000,1.000,69.00,0.00,101.20,0.00,133.40,0.00,165.60,0.00,197.80,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,BIG SPRING 3 1,Far West,1,Closed,NO,106.88,42.75,142.50,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,WND (Wind),"W2 (Wind Turbine, Type 2)",0.000,1.000,42.75,0.00,62.70,0.00,82.65,0.00,102.60,0.00,122.55,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,IRAAN 1 1,Far West,1,Closed,NO,120.38,48.15,160.50,Cubic,0.00,0.00,0.000,0.0000,0.00000,0.000,0.000,WND (Wind),"W2 (Wind Turbine, Type 2)",0.000,1.000,48.15,0.00,70.62,0.00,93.09,0.00,115.56,0.00,138.03,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
