BusNum,BusName,AreaName,ZoneName,ID,Status,MW,Mvar,MVA,SMW,SMvar,DistStatus,DistMWInput,DistMvarInput
1001,ODESSA 2 0,Far West,Far West Texas,1,Closed,20.78,5.89,21.6,20.78,5.89,Closed,0,0
1002,PRESIDIO 2 0,Far West,Far West Texas,1,Closed,15.41,4.37,16.02,15.41,4.37,Closed,0,0
1007,VAN HORN 0,Far West,Far West Texas,1,Closed,7.01,1.99,7.28,7.01,1.99,Closed,0,0
1012,SANDERSON 0,Far West,Far West Texas,1,Closed,2.99,0.85,3.1,2.99,0.85,Closed,0,0
1013,MONAHANS 2 0,Far West,Far West Texas,3,Closed,27.2,7.71,28.27,27.2,7.71,Closed,0,0
1013,MONAHANS 2 0,Far West,Far West Texas,2,Closed,1.52,0.43,1.58,1.52,0.43,Closed,0,0
1013,MONAHANS 2 0,Far West,Far West Texas,1,Closed,0.51,0.14,0.53,0.51,0.14,Closed,0,0
1014,GRANDFALLS 0,Far West,Far West Texas,1,Closed,2.22,0.63,2.31,2.22,0.63,Closed,0,0
1015,MARFA 0,Far West,Far West Texas,1,Closed,7.51,2.13,7.8,7.51,2.13,Closed,0,0
1016,GARDEN CITY 0,Far West,Far West Texas,1,Closed,2.89,0.82,3,2.89,0.82,Closed,0,0
1017,ODESSA 4 0,Far West,Far West Texas,1,Closed,18.34,5.2,19.07,18.34,5.2,Closed,0,0
1018,NOTREES 0,Far West,Far West Texas,1,Closed,0.07,0.02,0.07,0.07,0.02,Closed,0,0
1019,MIDLAND 4 0,Far West,Far West Texas,1,Closed,61.78,17.5,64.21,61.78,17.5,Closed,0,0
1024,ODESSA 6 0,Far West,Far West Texas,1,Closed,63.04,17.86,65.52,63.04,17.86,Closed,0,0
1027,MIDLAND 2 0,Far West,Far West Texas,2,Closed,100.61,28.51,104.57,100.61,28.51,Closed,0,0
1027,MIDLAND 2 0,Far West,Far West Texas,1,Closed,0.6,0.17,0.63,0.6,0.17,Closed,0,0
1028,COAHOMA 0,Far West,Far West Texas,3,Closed,4.9,1.39,5.09,4.9,1.39,Closed,0,0
1028,COAHOMA 0,Far West,Far West Texas,4,Closed,2.94,0.83,3.05,2.94,0.83,Closed,0,0
1028,COAHOMA 0,Far West,Far West Texas,1,Closed,1.43,0.4,1.48,1.43,0.4,Closed,0,0
1028,COAHOMA 0,Far West,Far West Texas,2,Closed,0.75,0.21,0.78,0.75,0.21,Closed,0,0
1029,MIDLAND 3 0,Far West,Far West Texas,1,Closed,83.18,23.57,86.46,83.18,23.57,Closed,0,0
1030,ALPINE 0,Far West,Far West Texas,1,Closed,23.05,6.53,23.95,23.05,6.53,Closed,0,0
1030,ALPINE 0,Far West,Far West Texas,2,Closed,1.58,0.45,1.64,1.58,0.45,Closed,0,0
1031,FORT DAVIS 0,Far West,Far West Texas,1,Closed,9.25,2.62,9.61,9.25,2.62,Closed,0,0
1036,CRANE 0,Far West,Far West Texas,2,Closed,12.58,3.56,13.07,12.58,3.56,Closed,0,0
1036,CRANE 0,Far West,Far West Texas,1,Closed,1.02,0.29,1.06,1.02,0.29,Closed,0,0
1037,ODESSA 5 0,Far West,Far West Texas,1,Closed,102.24,28.97,106.26,102.24,28.97,Closed,0,0
1040,ANDREWS 0,Far West,Far West Texas,1,Closed,44.36,12.57,46.1,44.36,12.57,Closed,0,0
1044,BIG LAKE 0,Far West,Far West Texas,2,Closed,10.17,2.88,10.57,10.17,2.88,Closed,0,0
1044,BIG LAKE 0,Far West,Far West Texas,1,Closed,4.51,1.28,4.69,4.51,1.28,Closed,0,0
1045,MIDLAND 5 0,Far West,Far West Texas,1,Closed,98.56,27.93,102.44,98.56,27.93,Closed,0,0
1046,OZONA 0,Far West,Far West Texas,2,Closed,11.08,3.14,11.52,11.08,3.14,Closed,0,0
1046,OZONA 0,Far West,Far West Texas,1,Closed,0.01,0,0.01,0.01,0,Closed,0,0
1054,STANTON 0,Far West,Far West Texas,3,Closed,12.69,3.6,13.19,12.69,3.6,Closed,0,0
1054,STANTON 0,Far West,Far West Texas,1,Closed,1.78,0.5,1.85,1.78,0.5,Closed,0,0
1054,STANTON 0,Far West,Far West Texas,2,Closed,0.52,0.15,0.54,0.52,0.15,Closed,0,0
1055,ODONNELL 0,Far West,Far West Texas,1,Closed,3.98,1.13,4.13,3.98,1.13,Closed,0,0
1058,IRAAN 3 0,Far West,Far West Texas,2,Closed,9.37,2.65,9.74,9.37,2.65,Closed,0,0
1058,IRAAN 3 0,Far West,Far West Texas,1,Closed,4.09,1.16,4.25,4.09,1.16,Closed,0,0
1064,ODESSA 3 0,Far West,Far West Texas,2,Closed,117.17,33.2,121.78,117.17,33.2,Closed,0,0
