wkt_geom,name,Number,Substation Longitude,Substation Latitude
PointZ (-102.25334800000000257 31.89451090159840163 0),ODESSA 2 0,1001,-102.253348,31.8945109
PointZ (-104.51013899999999524 29.8786819580038987 0),PRESIDIO 2 0,1002,-104.510139,29.87868196
PointZ (-101.6261779999999959 32.91732334937209714 0),O DONNELL 1 0,1003,-101.626178,32.91732335
PointZ (-101.63697799999999916 32.91732334937209714 0),O DONNELL 1 1,1004,-101.636978,32.91732335
PointZ (-101.37933300000000258 32.1953150179761991 0),BIG SPRING 5 0,1005,-101.379333,32.19531502
PointZ (-101.38473299999999711 32.19059288511350303 0),BIG SPRING 5 1,1006,-101.384733,32.19059289
PointZ (-104.61551400000000456 31.08268968989840175 0),VAN HORN 0,1007,-104.615514,31.08268969
PointZ (-102.19243299999999408 30.92065833506470085 0),IRAAN 2 0,1008,-102.192433,30.92065834
PointZ (-102.19783300000000281 30.91741548816899865 0),IRAAN 2 1,1009,-102.197833,30.91741549
PointZ (-104.29099999999999682 29.58747850723990069 0),PRESIDIO 1 0,1010,-104.291,29.58747851
PointZ (-104.29640000000000555 29.58262599701680173 0),PRESIDIO 1 1,1011,-104.2964,29.582626
PointZ (-101.9614609999999999 30.0187161366776003 0),SANDERSON 0,1012,-101.961461,30.01871614
PointZ (-103.15204599999999857 31.47384035451710105 0),MONAHANS 2 0,1013,-103.152046,31.47384035
PointZ (-103.07613399999999615 31.16028164617300078 0),GRANDFALLS 0,1014,-103.076134,31.16028165
PointZ (-103.99676100000000645 30.27596949237780066 0),MARFA 0,1015,-103.996761,30.27596949
PointZ (-101.49277499999999463 31.75389204309719915 0),GARDEN CITY 0,1016,-101.492775,31.75389204
PointZ (-102.40460699999999861 31.71292184719539975 0),ODESSA 4 0,1017,-102.404607,31.71292185
PointZ (-102.62393299999999385 31.78999162627729902 0),NOTREES 0,1018,-102.623933,31.78999163
PointZ (-102.12336600000000431 31.9656845242861003 0),MIDLAND 4 0,1019,-102.123366,31.96568452
PointZ (-101.10769999999999413 31.97875948202930019 0),BIG SPRING 1 0,1020,-101.1077,31.97875948
PointZ (-101.11310000000000286 31.97249921204529954 0),BIG SPRING 1 1,1021,-101.1131,31.97249921
PointZ (-101.56961699999999382 32.9169266216795009 0),O DONNELL 2 0,1022,-101.569617,32.91692662
PointZ (-101.57501700000000255 32.91224230520560212 0),O DONNELL 2 1,1023,-101.575017,32.91224231
PointZ (-102.62188199999999938 31.96014956488770054 0),ODESSA 6 0,1024,-102.621882,31.96014956
PointZ (-101.21099999999999852 32.02831852663390322 0),BIG SPRINGS 0,1025,-101.211,32.02831853
PointZ (-101.21639999999999304 32.02511383256810262 0),BIG SPRINGS 1,1026,-101.2164,32.02511383
PointZ (-102.03329800000000205 32.31102463077070297 0),MIDLAND 2 0,1027,-102.033298,32.31102463
PointZ (-101.23778400000000488 32.86741686366600135 0),COAHOMA 0,1028,-101.237784,32.86741686
PointZ (-102.07246399999999653 31.98322386807599926 0),MIDLAND 3 0,1029,-102.072464,31.98322387
PointZ (-103.21335999999999444 29.79115979516339863 0),ALPINE 0,1030,-103.21336,29.7911598
PointZ (-103.75006500000000642 30.99571163179059852 0),FORT DAVIS 0,1031,-103.750065,30.99571163
PointZ (-102.22010000000000218 31.19842285292650175 0),MCCAMEY 1 0,1032,-102.2201,31.19842285
PointZ (-102.23090000000000543 31.19842285292650175 0),MCCAMEY 1 1,1033,-102.2309,31.19842285
PointZ (-101.29363700000000392 31.98075498259879978 0),BIG SPRING 4 0,1034,-101.293637,31.98075498
PointZ (-101.29903699999999844 31.97754862551419919 0),BIG SPRING 4 1,1035,-101.299037,31.97754863
PointZ (-102.58725300000000402 31.17764834058279888 0),CRANE 0,1036,-102.587253,31.17764834
PointZ (-102.46509000000000356 31.78997862498620108 0),ODESSA 5 0,1037,-102.46509,31.78997862
PointZ (-102.49680800000000147 30.75865488806820025 0),FORT STOCKTON 1 0,1038,-102.496808,30.75865489
PointZ (-102.50220799999999599 30.75231281762570035 0),FORT STOCKTON 1 1,1039,-102.502208,30.75231282
PointZ (-102.68830300000000477 32.32660331822199851 0),ANDREWS 0,1040,-102.688303,32.32660332
PointZ (-101.3896000000000015 32.12860609240590293 0),FORSAN 0,1041,-101.3896,32.12860609
PointZ (-101.39499999999999602 32.12692929174409784 0),FORSAN 1,1042,-101.395,32.12692929
PointZ (-101.39499999999999602 32.12388050136539874 0),FORSAN 2,1043,-101.395,32.1238805
PointZ (-101.16378299999999513 31.26331971166759871 0),BIG LAKE 0,1044,-101.163783,31.26331971
PointZ (-102.19266000000000361 32.04292423056070049 0),MIDLAND 5 0,1045,-102.19266,32.04292423
PointZ (-101.32223899999999617 30.56476932372310173 0),OZONA 0,1046,-101.322239,30.56476932
PointZ (-102.92730000000000246 31.56396403841129938 0),MONAHANS 1 0,1047,-102.9273,31.56396404
PointZ (-102.92189999999999372 31.56381064484219934 0),MONAHANS 1 1,1048,-102.9219,31.56381064
PointZ (-102.92189999999999372 31.56074318658719946 0),MONAHANS 1 2,1049,-102.9219,31.56074319
PointZ (-102.92189999999999372 31.55767562745320021 0),MONAHANS 1 3,1050,-102.9219,31.55767563
PointZ (-102.92189999999999372 31.55460796744549867 0),MONAHANS 1 4,1051,-102.9219,31.55460797
PointZ (-102.92189999999999372 31.55154020656970104 0),MONAHANS 1 5,1052,-102.9219,31.55154021
PointZ (-102.94530000000000314 31.57469931072409963 0),MONAHANS 1 6,1053,-102.9453,31.57469931
PointZ (-101.7454879999999946 32.47918944542419695 0),STANTON 0,1054,-101.745488,32.47918945
PointZ (-101.75541400000000181 32.91794441299509799 0),ODONNELL 0,1055,-101.755414,32.91794441
PointZ (-101.827699999999993 32.22007317635169699 0),LENORAH 0,1056,-101.8277,32.22007318
PointZ (-101.83310000000000173 32.21230649078869845 0),LENORAH 1,1057,-101.8331,32.21230649
PointZ (-101.9117999999999995 30.86925113517409969 0),IRAAN 3 0,1058,-101.9118,30.86925114
PointZ (-101.91719999999999402 30.86446146108020017 0),IRAAN 3 1,1059,-101.9172,30.86446146
PointZ (-101.91719999999999402 30.86137123149829975 0),IRAAN 3 2,1060,-101.9172,30.86137123
PointZ (-101.41343600000000436 32.25948368790329823 0),BIG SPRING 6 0,1061,-101.413436,32.25948369
PointZ (-101.41883599999999888 32.25628710225340257 0),BIG SPRING 6 1,1062,-101.418836,32.2562871
PointZ (-101.41883599999999888 32.25324264186299672 0),BIG SPRING 6 2,1063,-101.418836,32.25324264
PointZ (-102.30342299999999511 31.99044311125580009 0),ODESSA 3 0,1064,-102.303423,31.99044311
PointZ (-101.44238500000000158 32.09014874460260103 0),BIG SPRING 3 0,1065,-101.442385,32.09014874
PointZ (-101.4477849999999961 32.08694621567909877 0),BIG SPRING 3 1,1066,-101.447785,32.08694622
PointZ (-101.35643399999999303 32.09223698859820217 0),BIG SPRING 7 0,1067,-101.356434,32.09223699
PointZ (-101.90900700000000256 31.50842077478650083 0),MIDLAND 1 0,1068,-101.909007,31.50842077
PointZ (-102.077699999999993 30.90390093829509865 0),IRAAN 1 0,1069,-102.0777,30.90390094
PointZ (-102.08310000000000173 30.89756845560170007 0),IRAAN 1 1,1070,-102.0831,30.89756846
PointZ (-102.308400000000006 31.8051231298855015 0),ODESSA 1 0,1071,-102.3084,31.80512313
PointZ (-102.31380000000000052 31.80802952171109865 0),ODESSA 1 1,1072,-102.3138,31.80802952
PointZ (-102.31380000000000052 31.80497012324320139 0),ODESSA 1 2,1073,-102.3138,31.80497012
PointZ (-102.31380000000000052 31.80191062346399988 0),ODESSA 1 3,1074,-102.3138,31.80191062
PointZ (-102.31380000000000052 31.79885102237879835 0),ODESSA 1 4,1075,-102.3138,31.79885102
PointZ (-102.31380000000000052 31.79579131999319941 0),ODESSA 1 5,1076,-102.3138,31.79579132
PointZ (-102.31380000000000052 31.79273151631209871 0),ODESSA 1 6,1077,-102.3138,31.79273152
PointZ (-102.31380000000000052 31.78967161134130137 0),ODESSA 1 7,1078,-102.3138,31.78967161
PointZ (-102.308400000000006 31.83112471351489958 0),ODESSA 1 8,1079,-102.3084,31.83112471
PointZ (-102.31380000000000052 31.78661160508610095 0),ODESSA 1 9,1080,-102.3138,31.78661161
PointZ (-102.29040000000000532 31.82959541225369904 0),ODESSA 1 10,1081,-102.2904,31.82959541
PointZ (-102.3466279999999955 30.7979954929373001 0),FORT STOCKTON 2 0,1082,-102.346628,30.79799549
PointZ (-102.78179199999999582 30.73662959320940047 0),FORT STOCKTON 3 0,1083,-102.781792,30.73662959
PointZ (-101.28929999999999723 31.92540654042139892 0),BIG SPRING 2 0,1084,-101.2893,31.92540654
PointZ (-103.12999200000000144 31.6855297358120005 0),KERMIT 0,1085,-103.129992,31.68552974
PointZ (-103.59091399999999794 31.79436806092209977 0),PECOS 0,1086,-103.590914,31.79436806
PointZ (-101.77553000000000338 30.58460214922130049 0),SHEFFIELD 0,1087,-101.77553,30.58460215
PointZ (-102.21630000000000393 31.129955689407101 0),MCCAMEY 2 0,1088,-102.2163,31.12995569
PointZ (-102.12450599999999667 32.92058268327630088 0),LAMESA 0,1089,-102.124506,32.92058268
PointZ (-102.81933300000000031 31.9843133971148994 0),GOLDSMITH 0,1090,-102.819333,31.9843134
PointZ (-101.52203699999999742 33.64818270698369673 0),RALLS 2 0,1091,-101.522037,33.64818271
PointZ (-95.33573300000000472 33.67488174445840343 0),PARIS 3 0,2001,-95.335733,33.67488174
PointZ (-96.34960499999999683 33.61465303855739961 0),SAVOY 0,2002,-96.349605,33.61465304
PointZ (-96.33160499999999615 33.61914992341250041 0),SAVOY 1,2003,-96.331605,33.61914992
PointZ (-96.35500500000000557 33.61450312615239966 0),SAVOY 2,2004,-96.355005,33.61450313
PointZ (-96.35500500000000557 33.61150506192409892 0),SAVOY 3,2005,-96.355005,33.61150506
PointZ (-96.35500500000000557 33.6085068934180029 0),SAVOY 4,2006,-96.355005,33.60850689
PointZ (-95.89110900000000015 33.60617256918200013 0),HONEY GROVE 0,2007,-95.891109,33.60617257
PointZ (-100.5038679999999971 34.84839528060140168 0),MEMPHIS 0,2008,-100.503868,34.84839528
PointZ (-98.7120960000000025 33.96284721006949781 0),IOWA PARK 0,2009,-98.712096,33.96284721
