Number,Name,Area Name,Nom kV,PU Volt,Volt (kV),Angle (Deg),Substation Latitude,Substation Longitude,Load MW,Load Mvar,Gen MW,Gen Mvar,Switched Shunts Mvar,Act G Shunt MW,Act B Shunt Mvar,Area Num,Zone Num
10001,NEAH BAY 1,Washington,138,1.01164,139.606,-39.84,48.2414,-124.5778,9.64,2.54,,,0,0,0,1,1
10002,FORKS 1,Washington,138,1.01703,140.349,-37.04,47.6956,-124.1836,15.98,6.04,,,,0,0,1,1
10003,OCEAN SHORES 1,Washington,138,1.03145,142.34,-34.04,47.04,-124.057,14.39,1.09,,,,0,0,1,1
10004,WESTPORT 1,Washington,138,1.03246,142.479,-33.93,46.9275,-124.1719,,,,,,0,0,1,1
10005,WESTPORT 2,Washington,138,1.03241,142.472,-33.93,46.9275,-124.1719,10.45,2.75,,,,0,0,1,1
10006,LONG BEACH 1 1,Washington,138,1.02559,141.532,-35.82,46.3165,-124.0612,13.44,1.28,,,,0,0,1,1
10007,LONG BEACH 1 2,Washington,138,1.02564,141.539,-35.81,46.3165,-124.0612,,,,,,0,0,1,1
10008,OCEAN PARK 1,Washington,138,1.02431,141.355,-34.74,46.4983,-123.9825,,,,,,0,0,1,1
10009,OCEAN PARK 2,Washington,138,1.02425,141.346,-34.75,46.4983,-123.9825,16.82,2.59,,,,0,0,1,1
10010,HOQUIAM 1,Washington,138,1.02302,141.177,-34.85,47.1743,-123.8474,33.49,15.14,,,,0,0,1,1
10011,PORT ANGELES 1 1,Washington,138,1.00739,139.019,-40.6,48.0025,-123.762,32.02,8.17,,,,0,0,1,1
10012,ABERDEEN 1 1,Washington,345,1.03543,357.224,-32.27,47.165,-123.6639,,,,,,0,0,1,1
10013,ABERDEEN 1 2,Washington,138,1.02819,141.89,-34.33,47.165,-123.6639,57.79,30.06,,,,0,0,1,1
10014,MONTESANO 1,Washington,138,1.02569,141.545,-34.64,47.1889,-123.686,,,,,,0,0,1,1
10015,MONTESANO 2,Washington,138,1.0255,141.519,-34.65,47.1889,-123.686,25.01,11.8,,,,0,0,1,1
10016,RAYMOND 1,Washington,138,1.02661,141.673,-32.28,46.656,-123.6148,,,,,,0,0,1,1
10017,RAYMOND 2,Washington,138,1.02647,141.653,-32.3,46.656,-123.6148,25.89,7.16,,,,0,0,1,1
10018,ELMA 1 1,Washington,138,1.03209,142.428,-35.37,47.0719,-123.2943,24.47,6.19,,,,0,0,1,1
10019,PORT ANGELES 2 1,Washington,345,1.03859,358.314,-36.54,47.988,-123.332,,,,,,0,0,1,1
10020,PORT ANGELES 2 2,Washington,138,1.01632,140.252,-39.07,47.988,-123.332,53.35,4.54,,,33.05,0,0,1,1
10021,CATHLAMET 1,Washington,138,1.02711,141.742,-31.9,46.1904,-123.332,8.99,2.13,,,,0,0,1,1
10022,SHELTON 1 1,Washington,138,1.04054,143.594,-35.69,47.1504,-123.13,48.19,15.92,,,,0,0,1,1
10023,SHELTON 2 1,Washington,345,1.0324,356.176,-33.23,47.1479,-123.0717,,,,,,0,0,1,1
10024,SHELTON 2 2,Washington,138,1.04398,144.069,-35.61,47.1479,-123.0717,43.96,8.97,,,,0,0,1,1
10025,ROCHESTER 1,Washington,138,1.03334,142.601,-32.72,46.7918,-123.0418,30.89,12.76,,,,0,0,1,1
10026,FRIDAY HARBOR 1,Washington,138,1.01168,139.612,-41.07,48.6268,-123.0375,18.65,4.97,,,,0,0,1,1
10027,SEQUIM 1 1,Washington,138,1.0039,138.538,-41.07,48.0874,-123.158,,,,,,0,0,1,1
10028,SEQUIM 1 2,Washington,138,1.00369,138.509,-41.09,48.0874,-123.158,32.23,12.72,,,,0,0,1,1
10029,SEQUIM 2 1,Washington,138,1.00895,139.235,-40.46,48.0024,-123.0817,32.23,1.85,,,,0,0,1,1
10030,OLYMPIA 1 1,Washington,138,1.03723,143.138,-35.05,47.0228,-123.1324,,,,,,0,0,1,1
10031,OLYMPIA 1 2,Washington,138,1.03707,143.115,-35.07,47.0228,-123.1324,39.8,7.18,,,,0,0,1,1
10032,OLYMPIA 2 1,Washington,138,1.03075,142.244,-36.12,47.0673,-123.1433,41.5,5.68,,,,0,0,1,1
10033,LONGVIEW 1 1,Washington,138,1.01684,140.324,-32.56,46.1277,-123.011,59.05,6.96,,,,0,0,1,1
10034,LONGVIEW 2 1,Washington,138,1.01568,140.163,-32.43,46.1467,-122.9894,,,,,,0,0,1,1
