Number,Name,Area Name,Nom kV,PU Volt,Volt (kV),Angle (Deg),Substation Latitude,Substation Longitude,Load MW,Load Mvar,Gen MW,Gen Mvar,Switched Shunts Mvar,Act G Shunt MW,Act B Shunt Mvar,Area Num,Zone Num
100011,NEAH BAY 1,Washington,138.0,1.01164,139.606,-39.84,48.2414,-124.5778,9.64,2.54,,,0.0,0,0,1,1
100021,FORKS 1,Washington,138.0,1.01703,140.349,-37.04,47.6956,-124.1836,15.98,6.04,,,,0,0,1,1
100031,OCEAN SHORES 1,Washington,138.0,1.03145,142.34,-34.04,47.04,-124.057,14.39,1.09,,,,0,0,1,1
100041,WESTPORT 1,Washington,138.0,1.03246,142.479,-33.93,46.9275,-124.1719,,,,,,0,0,1,1
100051,WESTPORT 2,Washington,138.0,1.03241,142.472,-33.93,46.9275,-124.1719,10.45,2.75,,,,0,0,1,1
100061,LONG BEACH 1 1,Washington,138.0,1.02559,141.532,-35.82,46.3165,-124.0612,13.44,1.28,,,,0,0,1,1
100071,LONG BEACH 1 2,Washington,138.0,1.02564,141.539,-35.81,46.3165,-124.0612,,,,,,0,0,1,1
100081,OCEAN PARK 1,Washington,138.0,1.02431,141.355,-34.74,46.4983,-123.9825,,,,,,0,0,1,1
100091,OCEAN PARK 2,Washington,138.0,1.02425,141.346,-34.75,46.4983,-123.9825,16.82,2.59,,,,0,0,1,1
100101,HOQUIAM 1,Washington,138.0,1.02302,141.177,-34.85,47.1743,-123.8474,33.49,15.14,,,,0,0,1,1
100111,PORT ANGELES 1 1,Washington,138.0,1.00739,139.019,-40.6,48.0025,-123.762,32.02,8.17,,,,0,0,1,1
100121,ABERDEEN 1 1,Washington,345.0,1.03543,357.224,-32.27,47.165,-123.6639,,,,,,0,0,1,1
100131,ABERDEEN 1 2,Washington,138.0,1.02819,141.89,-34.33,47.165,-123.6639,57.79,30.06,,,,0,0,1,1
100141,MONTESANO 1,Washington,138.0,1.02569,141.545,-34.64,47.1889,-123.686,,,,,,0,0,1,1
100151,MONTESANO 2,Washington,138.0,1.0255,141.519,-34.65,47.1889,-123.686,25.01,11.8,,,,0,0,1,1
100161,RAYMOND 1,Washington,138.0,1.02661,141.673,-32.28,46.656,-123.6148,,,,,,0,0,1,1
100171,RAYMOND 2,Washington,138.0,1.02647,141.653,-32.3,46.656,-123.6148,25.89,7.16,,,,0,0,1,1
100181,ELMA 1 1,Washington,138.0,1.03209,142.428,-35.37,47.0719,-123.2943,24.47,6.19,,,,0,0,1,1
