eGRID2018 Plant file sequence number,Plant state abbreviation,Plant_name,DOE,Plant transmission or distribution system owner ID,Plant latitude,Plant longitude,Number of generators,Plant primary fuel,Plant primary coal/oil/gas/ other fossil fuel category,Plant_capacity_factor,Plant nameplate capacity (MW),Plant annual heat input from combustion (MMBtu),Plant total annual heat input (MMBtu),Plant annual net generation (MWh),CalCapFac
313,AZ,Agua Fria Generating Station,141,16572,33.5561,-112.2153,7,NG,GAS,0.0277,613.5,"1,810,489","1,813,051","148,612",0.082083902
316,AZ,Apache Station,160,796,32.0603,-109.8931,7,NG,GAS,0.3064,660.7,"20,877,233","20,877,233","1,773,343",0.084941477
317,AZ,APS Saguaro Power Plant,118,803,32.5517,-111.3,6,NG,GAS,0.0287,435.5,"895,692","895,692","109,365",0.122101123
318,AZ,APS West Phoenix Power Plant,117,803,33.4417,-112.1583,13,NG,GAS,0.2568,"1,326.90","17,944,124","17,944,124","2,984,982",0.166348717
319,AZ,Arizona State University CHP,58199,803,33.417222,-111.928333,1,NG,GAS,0.6099,9.2,"257,486","257,486","49,149",0.190880302
321,AZ,Arlington Valley Energy Facility,55282,16572,33.3417,-112.8897,3,NG,GAS,0.3395,713,"15,413,164","15,413,164","2,120,507",0.137577658
330,AZ,Black Mountain Generating Station,56482,19728,35.0361,-114.1594,2,NG,GAS,0.0753,121,"808,522","808,522","79,795",0.098692429
338,AZ,Cholla,113,803,34.9394,-110.3033,4,SUB,COAL,0.3656,"1,128.80","43,525,629","43,525,629","3,615,007",0.083054676
339,AZ,Cogeneration 1,56229,24211,32.229922,-110.952797,1,NG,GAS,0.7114,9,"290,266","290,266","56,089",0.193233964
340,AZ,Cogeneration 2,59233,24211,32.240833,-110.948333,1,NG,GAS,0.6738,6,"181,849","181,849","35,413",0.194736908
343,AZ,Coolidge Generating Station,56948,16572,32.917399,-111.503327,12,NG,GAS,0.0244,726,"1,559,950","1,559,950","155,334",0.099576268
346,AZ,Coronado Generating Station,6177,16572,34.5789,-109.2708,2,RC,COAL,0.4998,821.8,"43,708,941","43,708,941","3,597,872",0.082314326
351,AZ,De Moss Petrie Generating Station,124,24211,32.252273,-110.992148,1,NG,GAS,0.0069,85,"78,643","78,643","5,154",0.065536666
352,AZ,Desert Basin Generating Station,55129,16572,32.9042,-111.7889,3,NG,GAS,0.4127,646.1,"18,453,902","18,453,902","2,335,543",0.12656093
354,AZ,Douglas,114,803,31.364122,-109.5538,1,DFO,OIL,0.0006,26.1,"3,923","3,923",141,0.035941881
366,AZ,Gila River Power Block 2,60768,803,32.975,-112.694444,3,NG,GAS,0.4146,619,"16,900,807","16,900,807","2,248,005",0.133011694
367,AZ,Gila River Power Station,55306,803,32.975,-112.6944,9,NG,GAS,0.4014,"1,857.00","68,175,790","68,175,790","6,530,008",0.095781919
373,AZ,Griffith Energy Project,55124,27000,35.054029,-114.133272,3,NG,GAS,0.3611,655,"14,957,078","14,957,078","2,071,721",0.138511078
380,AZ,IRC Generator Facility,56899,6957,36.9708,-112.5264,2,DFO,OIL,0.0002,3,203,203,6,0.02955665
383,AZ,Irvington Generating Station,126,24211,32.16,-110.9047,16,NG,GAS,0.2032,793.5,"15,830,088","15,830,088","1,412,423",0.089223951
388,AZ,Kyrene Generating Station,147,16572,33.3556,-111.9353,7,NG,GAS,0.1698,573.7,"6,091,569","6,091,569","853,210",0.140064079
395,AZ,Mesquite Generating Station,55481,16572,33.345,-112.864167,6,NG,GAS,0.478,"1,383.20","42,276,145","42,276,145","5,792,067",0.137005562
401,AZ,Navajo Generating Station,4941,803,36.9047,-111.3886,3,BIT,COAL,0.6168,"2,409.30","148,767,379","148,767,379","13,017,437",0.087501958
402,AZ,"New Harquahala Generating Company, LLC",55372,16572,33.47596,-113.113434,6,NG,GAS,0.0003,"1,325.10","36,750","36,750","3,815",0.103809524
403,AZ,North Loop,6088,24211,32.401,-111.1262,4,NG,GAS,0.0084,107.8,"124,096","124,096","7,898",0.063644268
406,AZ,Ocotillo Power Plant,116,803,33.4225,-111.9122,12,NG,GAS,0.0299,"1,034.00","3,270,036","3,270,036","270,760",0.082800311
428,AZ,Redhawk Generating Facility,55455,16572,33.334562,-112.840641,6,NG,GAS,0.3596,"1,140.30","29,589,080","29,589,080","3,591,886",0.121392284
434,AZ,Santan,8068,16572,33.3325,-111.7503,9,NG,GAS,0.3231,"1,326.00","25,189,446","25,189,446","3,752,533",0.148972431
437,AZ,"South Point Energy Center, LLC",55177,27000,34.8678,-114.5317,3,NG,GAS,0.0421,708,"2,047,200","2,047,200","261,151",0.127564967
438,AZ,Springerville Generating Station,8223,24211,34.3186,-109.1639,8,SUB,COAL,0.5218,"2,179.20","102,553,041","102,771,982","9,961,840",0.097138416
443,AZ,Sundance Power Plant,55522,27000,32.9285,-111.5899,12,NG,GAS,0.0598,695,"4,249,982","4,249,982","364,133",0.085678717
450,AZ,University of Arizona - Biosphere 2,54594,19604,32.578011,-110.852608,2,NG,GAS,0.0016,3.1,576,576,42,0.072916667
451,AZ,Valencia,6515,19728,31.363472,-110.931343,4,NG,GAS,0.0032,108,"38,405","38,405","3,042",0.079208438
458,AZ,Yucca Power Plant,120,803,32.7214,-114.7106,8,NG,GAS,0.1227,425,"5,071,184","5,071,184","456,777",0.090073048
459,AZ,Yuma Cogeneration Associates,54694,803,32.728822,-114.654053,2,NG,GAS,0.0753,62.6,"305,442","305,442","41,296",0.135200617
477,CA,Adobe San Jose,57811,14328,37.330556,-121.893056,2,NG,GAS,0.7981,1.2,"73,816","73,816","8,390",0.113660995
479,CA,Aera San Ardo Cogen Facility,55184,14328,35.953293,-120.859952,2,NG,GAS,0.903,6.2,"273,538","273,538","49,041",0.179284101
484,CA,AES Alamitos,315,17609,33.7688,-118.1009,7,NG,GAS,0.0532,"2,055.00","12,712,766","12,712,766","958,300",0.07538092
487,CA,AES Huntington Beach,335,17609,33.6439,-117.9792,5,NG,GAS,0.0357,"1,021.00","3,762,509","3,762,509","319,522",0.084922588
489,CA,AES Redondo Beach,356,17609,33.8504,-118.395,4,NG,GAS,0.0238,"1,316.40","3,596,623","3,596,623","274,507",0.07632354
490,CA,Agnews Power Plant,50748,14328,37.4058,-121.9272,2,NG,GAS,0.0564,32,"151,467","151,467","15,801",0.104319931
491,CA,Agua Mansa Power,55951,4003,34.0414,-117.3603,1,NG,GAS,0.0148,60.5,"86,481","86,481","7,862",0.090910142
493,CA,Alameda,7450,207,37.7886,-122.2889,2,NG,GAS,0.0199,54.8,"143,953","143,953","9,563",0.066431405
496,CA,Algonquin Power Sanger,57564,14328,36.6842,-119.5522,3,NG,GAS,0.2717,74,"1,263,196","1,263,196","176,139",0.139439169
500,CA,Almond Power Plant,7315,19281,37.5744,-120.985,4,NG,GAS,0.0867,223.5,"1,765,606","1,765,606","169,771",0.096154522
515,CA,AltaGas Ripon Energy Inc.,50299,14328,37.732533,-121.116006,1,NG,GAS,0.0228,49.5,"99,585","99,585","9,868",0.099091229
521,CA,Amazon San Bernardino,59800,17609,34.088408,-117.245839,1,NG,GAS,0.7437,1.1,"51,449","51,449","7,166",0.139283562
535,CA,Anaheim Combustion Turbine,7693,590,33.853542,-117.856286,1,NG,GAS,0.09,49.2,"350,281","350,281","38,770",0.110682566
552,CA,Argus Cogen Plant,10684,17609,35.765,-117.3833,3,RC,COAL,0.5403,62.5,"1,649,186","1,649,186","295,787",0.179353322
558,CA,AT&T Anaheim,61154,590,33.836439,-117.916893,1,NG,GAS,0.8909,1.3,"68,732","68,732","10,145",0.147602281
559,CA,AT&T Holger,61153,14328,37.417638,-121.94453,1,NG,GAS,0.9264,1.3,"71,727","71,727","10,550",0.147085477
561,CA,ATT Van Nyus,62574,11208,34.196324,-118.448225,1,NG,GAS,0.9425,1,"55,406","55,406","8,256",0.149009133
569,CA,B Braun Medical,50200,17609,33.688721,-117.834793,2,NG,GAS,0.7498,6.1,"218,547","218,547","40,066",0.183329142
570,CA,Badger Creek Limited,10650,14328,35.483736,-119.029856,1,NG,GAS,0.0188,46,"51,435","51,435","7,556",0.146902845
578,CA,Barre Generating Station,56474,17609,33.8073,-117.9832,1,NG,GAS,0.0759,49.8,"337,032","337,032","33,130",0.098299271
588,CA,Bear Mountain Limited,10649,14328,35.419181,-118.926643,1,NG,GAS,0.0888,46,"241,830","241,830","35,766",0.147897189
590,CA,Bear Valley Power Plant,56346,17612,34.2506,-116.9025,7,NG,GAS,0.0008,8.4,"7,817","7,817",56,0.007163875
594,CA,Berry Cogen,50170,14328,35.093046,-119.443617,1,NG,GAS,0.8644,38.7,"1,591,495","1,591,495","293,027",0.184120637
595,CA,Berry Cogen Tanne Hills 18,50622,14328,35.089829,-119.440881,2,NG,GAS,0.5835,17.6,"587,318","587,318","89,956",0.153164113
596,CA,Berry NMW Cogens,62176,14328,35.307555,-119.611551,2,NG,GAS,0.4674,9.6,"526,945","526,945","39,305",0.074590327
597,CA,Berry Placerita Cogen,52096,17609,34.38407,-118.494882,2,NG,GAS,0.789,42.8,"1,657,743","1,657,743","295,809",0.178440809
608,CA,Biola University,54296,17609,33.906953,-118.013105,6,NG,GAS,0.2961,5.5,"74,031","74,031","14,268",0.192731234
622,CA,Blythe Energy,55295,17609,33.6157,-114.6865,3,NG,GAS,0.5207,591,"20,194,857","20,194,857","2,695,876",0.133493196
640,CA,Broadridge Cogen,57580,14328,38.6183,-121.0564,4,NG,GAS,0.258,5,"124,942","124,942","11,302",0.090457972
654,CA,C P Kelco San Diego Plant,52147,16609,32.6947,-117.1436,3,NG,GAS,0.3326,28,"459,756","459,756","81,590",0.177463593
